surface,draw_size,tourney_date,outcome,opponent_1serve,serv points,1serve points,opp_return_perc,o_ret_points,winner_seed,winner_name,winner_hand,loser_seed,loser_entry,loser_name,loser_hand,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Clay,56,20090510,W,64.81481481,54,35,51.85185185,28,7,Fernando Verdasco,L,,WC,Juan Carlos Ferrero,R,6-3 6-2,3,96,4,1,67,52,32,7,9,5,7,2,0,54,35,20,5,8,1,6,8,3900,115,724
Clay,56,20090510,W,76.47058824,68,52,42.64705882,29,7,Fernando Verdasco,L,,WC,Juan Monaco,R,7-5 6-2,3,108,2,1,71,51,31,11,10,2,4,0,1,68,52,24,8,10,5,10,8,3900,47,1240
Clay,56,20090510,L,77.63157895,76,59,38.15789474,29,1,Rafael Nadal,L,7,,Fernando Verdasco,L,6-4 7-5,3,119,1,1,76,59,37,10,11,3,5,5,7,62,44,26,7,11,5,9,1,15360,8,3900
Clay,28,20090713,W,77.57009346,107,83,49.53271028,53,1,Fernando Verdasco,L,,,Daniel Koellerer,R,6-7(1) 6-2 7-5,3,189,6,7,128,93,59,16,16,13,16,0,2,107,83,46,14,16,6,12,9,3500,81,793
Clay,28,20090713,L,60,30,18,90,27,,Juan Monaco,R,1,,Fernando Verdasco,L,6-1 3-1 RET,3,56,4,2,30,18,14,7,5,0,0,0,1,51,33,18,6,6,3,7,61,915,9,3500
Hard,48,20090823,W,60.78431373,51,31,23.52941176,12,2,Fernando Verdasco,L,,,Paul Capdeville,R,6-0 6-3,3,50,8,6,43,21,19,12,8,3,4,3,3,51,31,17,4,7,6,11,10,3015,88,680
Hard,48,20090823,W,45.58823529,68,31,25,17,2,Fernando Verdasco,L,16,,Andreas Seppi,R,7-6(3) 6-2,3,86,3,7,60,32,28,15,10,3,4,3,2,68,31,23,17,10,3,6,10,3015,48,990
Hard,48,20090823,W,58.69565217,46,27,32.60869565,15,2,Fernando Verdasco,L,11,,Jurgen Melzer,L,6-3 6-1,3,58,5,1,47,31,20,12,8,2,3,1,1,46,27,11,9,8,1,6,10,3015,38,1160
Hard,48,20090823,W,62.63736264,91,57,32.96703297,30,2,Fernando Verdasco,L,7,,Igor Andreev,R,7-6(4) 7-6(5),3,112,7,11,90,57,46,14,12,5,7,7,4,91,57,39,18,12,9,11,10,3015,30,1330
Hard,48,20090823,W,57.95454545,88,51,21.59090909,19,2,Fernando Verdasco,L,6,,Sam Querrey,R,6-4 7-6(6),3,96,4,4,67,48,35,13,11,4,6,7,3,88,51,36,16,11,4,7,10,3015,23,1520
Hard,32,20090104,W,60.71428571,56,34,25,14,3,Fernando Verdasco,L,,WC,Bernard Tomic,R,6-4 6-2,3,65,1,2,50,39,31,5,9,3,4,3,1,56,34,19,9,9,9,13,15,2830,764,42
Hard,32,20090104,W,60,55,33,21.81818182,12,3,Fernando Verdasco,L,,,Mario Ancic,R,6-2 6-3,3,79,6,1,53,39,33,8,9,5,5,2,0,55,33,20,11,8,2,5,15,2830,35,1800
Hard,32,20090104,W,65.88235294,85,56,27.05882353,23,3,Fernando Verdasco,L,,,Florent Serra,R,4-6 6-0 6-3,3,114,7,2,79,66,49,7,13,6,7,3,4,85,56,34,13,12,5,9,15,2830,60,1324
Hard,32,20090104,W,53.33333333,60,32,28.33333333,17,3,Fernando Verdasco,L,,,Paul Henri Mathieu,R,6-2 6-1,3,76,4,2,50,38,28,5,8,3,4,0,3,60,32,19,7,7,3,8,15,2830,31,2000
Hard,32,20090104,L,50.61728395,81,41,41.97530864,34,8,Radek Stepanek,R,3,,Fernando Verdasco,L,3-6 6-3 6-4,3,138,3,1,81,41,31,25,14,6,8,1,1,87,75,48,5,14,2,5,26,2260,15,2830
Hard,48,20091108,W,60.78431373,102,62,26.47058824,27,7,Fernando Verdasco,L,,,Andreas Seppi,R,6-7(3) 6-4 6-4,3,128,9,2,88,50,40,21,16,0,3,5,3,102,62,44,19,16,5,10,8,3360,50,875
Hard,48,20091108,L,65,80,52,38.75,31,12,Marin Cilic,R,7,,Fernando Verdasco,L,3-6 6-3 6-4,3,116,3,0,80,52,38,17,14,1,2,9,5,89,56,45,13,14,5,7,13,2400,8,3360
Hard,96,20090325,W,56.36363636,55,31,43.63636364,24,8,Fernando Verdasco,L,,Q,Benjamin Becker,R,6-3 6-4,3,79,1,6,58,38,26,8,10,3,6,4,2,55,31,22,5,9,3,8,9,3590,127,637
Hard,96,20090325,W,56.12244898,98,55,24.48979592,24,8,Fernando Verdasco,L,32,,Feliciano Lopez,L,3-6 6-3 6-4,3,125,3,5,76,57,41,11,14,0,2,13,7,98,55,41,16,14,7,10,9,3590,34,1615
Hard,96,20090325,W,49.01960784,51,25,21.56862745,11,8,Fernando Verdasco,L,18,,Radek Stepanek,R,6-2 6-2,3,71,2,2,47,35,27,9,8,2,2,0,3,51,25,13,12,8,3,7,9,3590,19,2470
Hard,96,20090325,L,54.54545455,55,30,43.63636364,24,4,Andy Murray,R,8,,Fernando Verdasco,L,6-1 6-2,3,76,3,3,55,30,20,14,8,7,8,2,2,44,32,16,4,7,2,7,4,7850,9,3590
Hard,96,20090312,W,66.15384615,65,43,20,13,10,Fernando Verdasco,L,,Q,Thomaz Bellucci,L,7-5 6-1,3,86,4,1,55,44,38,4,10,0,0,6,2,65,43,25,10,9,2,5,10,3330,69,1035
Hard,96,20090312,W,50,52,26,19.23076923,10,10,Fernando Verdasco,L,23,,Richard Gasquet,R,6-3 6-2,3,68,2,0,40,29,21,9,8,1,2,2,6,52,26,16,9,9,3,8,10,3330,24,2100
Hard,96,20090312,W,59.74025974,77,46,23.37662338,18,10,Fernando Verdasco,L,,,Philipp Kohlschreiber,R,6-4 3-6 6-1,3,101,2,1,60,44,35,7,13,1,4,2,2,77,46,30,13,13,6,11,10,3330,36,1550
Hard,96,20090312,L,62.68656716,67,42,47.76119403,32,2,Roger Federer,R,10,,Fernando Verdasco,L,6-3 7-6(5),3,92,4,3,67,42,32,10,10,5,7,2,4,77,61,35,10,11,4,8,2,11000,10,3330
Clay,56,20090412,W,69.3877551,49,34,36.73469388,18,7,Fernando Verdasco,L,,,Philipp Kohlschreiber,R,6-3 6-4,3,83,0,5,63,44,34,11,10,2,2,2,1,49,34,22,10,9,1,3,8,3760,34,1570
Clay,56,20090412,W,46.93877551,49,23,28.57142857,14,7,Fernando Verdasco,L,10,,David Ferrer,R,6-2 6-1,3,62,0,3,39,31,23,2,7,0,1,0,0,49,23,12,8,8,4,10,8,3760,12,3125
Clay,56,20090412,L,62.06896552,87,54,39.08045977,34,3,Novak Djokovic,R,7,,Fernando Verdasco,L,6-2 4-6 6-3,3,138,4,5,87,54,42,17,14,4,6,2,5,82,56,34,14,13,6,10,3,9010,8,3760
Clay,56,20090427,W,45.87155963,109,50,21.10091743,23,6,Fernando Verdasco,L,,,Mardy Fish,R,6-4 5-7 6-3,3,142,4,2,79,55,41,15,15,0,2,10,6,109,50,36,31,16,10,14,8,3870,28,1785
Clay,56,20090427,W,73.61111111,72,53,41.66666667,30,6,Fernando Verdasco,L,,,Richard Gasquet,R,7-5 6-4,3,109,3,4,80,61,40,10,11,6,8,0,2,72,53,32,10,11,4,8,8,3870,23,1855
Clay,56,20090427,L,70,60,42,43.33333333,26,1,Rafael Nadal,L,6,,Fernando Verdasco,L,6-3 6-3,3,111,0,0,60,42,27,11,9,5,6,0,5,55,36,20,9,9,2,6,1,14890,8,3870
Hard,56,20090810,W,68.18181818,88,60,27.27272727,24,10,Fernando Verdasco,L,,,Feliciano Lopez,L,6-1 6-7(5) 6-1,3,109,14,8,83,61,48,11,14,2,3,12,2,88,60,42,8,12,5,10,11,3135,37,1215
Hard,56,20090810,W,53.19148936,47,25,14.89361702,7,10,Fernando Verdasco,L,,,Leonardo Mayer,R,6-1 6-1,3,58,1,1,34,24,19,8,7,3,4,1,3,47,25,12,5,7,4,10,11,3135,62,865
Hard,56,20090810,L,67.61904762,105,71,29.52380952,31,5,Andy Roddick,R,10,,Fernando Verdasco,L,7-6(2) 4-6 7-6(5),3,157,12,0,105,71,56,21,17,4,6,13,2,110,75,58,21,17,5,6,5,5530,11,3135
Hard,56,20090816,L,61.64383562,73,45,27.39726027,20,,Guillermo Garcia Lopez,R,11,,Fernando Verdasco,L,7-6(4) 7-6(4),3,105,5,3,73,45,37,17,12,3,4,11,2,70,45,37,13,12,2,3,53,914,10,3185
Clay,56,20090420,W,57.37704918,61,35,42.62295082,26,2,Fernando Verdasco,L,,Q,Nicolas Lapentti,R,7-5 6-3,3,99,1,3,69,53,35,8,11,4,6,3,2,61,35,21,12,10,1,5,7,3790,74,978
Clay,56,20090420,W,63.7254902,102,65,26.47058824,27,2,Fernando Verdasco,L,15,,Tomas Berdych,R,7-5 5-7 6-4,3,137,3,1,91,76,51,13,17,6,9,7,2,102,65,47,19,17,9,13,7,3790,28,1780
Clay,56,20090420,L,63.20754717,106,67,32.0754717,34,5,Fernando Gonzalez,R,2,,Fernando Verdasco,L,6-3 4-6 6-4,3,137,7,1,106,67,51,15,15,4,7,0,1,88,65,41,13,14,6,10,14,2825,7,3790
Grass,32,20090614,W,49.20634921,63,31,20.63492063,13,1,Fernando Verdasco,L,,,Pablo Andujar,R,6-3 7-5,3,82,9,2,59,37,31,15,11,1,1,0,5,63,31,23,17,10,2,4,8,3710,109,690
Grass,32,20090614,L,51.2195122,82,42,36.58536585,30,,Benjamin Becker,R,1,,Fernando Verdasco,L,7-5 7-6(4),3,104,10,2,82,42,34,25,12,3,3,9,7,86,48,36,20,12,2,3,82,846,8,3710
Grass,32,20090608,L,55.31914894,94,52,30.85106383,29,,Philipp Petzschner,R,3,,Fernando Verdasco,L,3-6 7-6(5) 6-4,3,106,5,5,94,52,38,21,15,3,7,9,5,89,58,43,17,16,3,7,59,1025,8,3710
Hard,56,20091011,L,65.625,64,42,37.5,24,,Ivan Ljubicic,R,7,,Fernando Verdasco,L,6-4 7-6(6),3,94,8,0,64,42,36,10,11,0,1,8,2,66,51,32,10,11,1,3,37,1070,9,3400
Clay,128,20090525,W,62.5,112,70,24.10714286,27,8,Fernando Verdasco,L,,,Florent Serra,R,6-2 6-1 6-4,5,131,15,2,84,60,45,12,13,6,7,2,1,112,70,42,14,12,22,28,8,3830,47,1196
Clay,128,20090525,W,52.23880597,67,35,14.92537313,10,8,Fernando Verdasco,L,,,Philipp Petzschner,R,6-1 6-2 6-3,5,75,1,0,56,46,37,9,12,0,1,3,6,67,35,18,12,12,2,9,8,3830,67,990
Clay,128,20090525,W,47.61904762,126,60,26.98412698,34,8,Fernando Verdasco,L,31,,Nicolas Almagro,R,6-2 7-6(4) 7-6(8),5,167,3,4,110,97,73,3,16,0,2,5,2,126,60,41,34,16,5,9,8,3830,34,1525
Clay,128,20090525,L,77.33333333,75,58,52,39,10,Nikolay Davydenko,R,8,,Fernando Verdasco,L,6-2 6-2 6-4,5,122,4,2,75,58,48,9,13,3,3,4,1,83,49,27,17,13,4,9,11,2945,8,3830
Grass,128,20090622,W,58.10810811,74,43,24.32432432,18,7,Fernando Verdasco,L,,WC,James Ward,R,6-1 6-3 6-4,5,91,15,4,72,59,47,7,13,3,3,4,4,74,43,31,13,13,5,10,8,3620,207,336
Grass,128,20090622,W,71.03448276,145,103,24.13793103,35,7,Fernando Verdasco,L,,,Kristof Vliegen,R,7-6(3) 6-7(3) 7-6(4) 6-4,5,175,20,7,140,92,72,33,23,0,0,12,1,145,103,77,27,23,4,5,8,3620,82,843
Grass,128,20090622,W,57.65765766,111,64,25.22522523,28,7,Fernando Verdasco,L,32,,Albert Montanes,R,4-6 6-1 6-4 7-6(2),5,138,16,5,114,87,71,15,20,4,5,5,0,111,64,50,24,19,6,9,8,3620,33,1424
Grass,128,20090622,L,71.75572519,131,94,29.00763359,38,22,Ivo Karlovic,R,7,,Fernando Verdasco,L,7-6(5) 6-7(4) 6-3 7-6(9),5,181,36,5,131,94,88,21,23,0,0,7,8,146,99,81,27,22,5,6,36,1295,8,3620
Hard,128,20090831,W,53.77358491,106,57,20.75471698,22,10,Fernando Verdasco,L,,,Benjamin Becker,R,7-5 6-4 7-5,5,132,12,5,83,47,40,21,17,1,3,1,1,106,57,42,21,17,2,7,10,3220,45,1054
Hard,128,20090831,W,57.14285714,91,52,19.78021978,18,10,Fernando Verdasco,L,,,Florent Serra,R,6-3 6-0 6-3,5,89,9,7,64,33,27,19,12,1,2,4,2,91,52,34,10,12,7,14,10,3220,61,866
Hard,128,20090831,W,61.875,160,99,39.375,63,10,Fernando Verdasco,L,20,,Tommy Haas,R,3-6 7-5 7-6(8) 1-6 6-4,5,225,18,13,163,102,73,27,24,8,14,22,6,160,99,73,31,26,6,11,10,3220,21,1760
Hard,128,20090831,W,70.58823529,102,72,28.43137255,29,10,Fernando Verdasco,L,,,John Isner,R,4-6 6-4 6-4 6-4,5,146,7,4,102,76,57,16,20,1,4,13,3,102,72,52,16,20,3,8,10,3220,55,914
Hard,128,20090831,L,67.39130435,138,93,35.50724638,49,4,Novak Djokovic,R,10,,Fernando Verdasco,L,7-6(2) 1-6 7-5 6-2,5,185,9,4,138,93,66,23,20,10,14,5,8,122,68,47,26,19,8,12,4,7660,10,3220
Hard,32,20091102,W,65,20,13,15,3,4,Fernando Verdasco,L,,WC,Oscar Hernandez,R,6-1 0-1 RET,3,30,2,0,19,10,10,6,4,0,0,0,1,20,13,9,2,4,0,2,8,3225,75,633
Hard,32,20091102,W,53.7037037,54,29,38.88888889,21,4,Fernando Verdasco,L,,,Janko Tipsarevic,R,6-3 6-3,3,83,7,2,61,40,31,9,9,5,6,2,1,54,29,18,13,9,2,6,8,3225,39,990
Hard,32,20091102,W,60.71428571,56,34,28.57142857,16,4,Fernando Verdasco,L,7,,Tommy Robredo,R,6-3 6-2,3,76,5,1,55,35,25,14,9,2,2,0,3,56,34,24,8,8,4,7,8,3225,15,2130
Hard,32,20091102,L,48.27586207,87,42,32.18390805,28,1,Andy Murray,R,4,,Fernando Verdasco,L,6-3 2-6 6-3,3,122,5,4,87,42,29,26,13,6,8,5,3,74,40,30,16,13,5,8,4,6640,8,3225
Hard,128,20090119,W,43.5483871,62,27,30.64516129,19,14,Fernando Verdasco,L,,WC,Adrian Mannarino,L,6-0 6-2 6-2,5,87,7,4,69,50,40,10,11,2,2,2,4,62,27,15,11,11,5,12,15,2830,129,726
Hard,128,20090119,W,63.29113924,79,50,12.65822785,10,14,Fernando Verdasco,L,,,Arnaud Clement,R,6-1 6-1 6-2,5,93,6,1,56,47,39,7,11,3,3,2,3,79,50,23,12,11,6,13,15,2830,89,980
Hard,128,20090119,W,57.64705882,85,49,27.05882353,23,14,Fernando Verdasco,L,22,,Radek Stepanek,R,6-4 6-0 6-0,5,108,1,2,69,56,40,6,11,8,10,2,5,85,49,21,11,11,11,20,15,2830,23,2360
Hard,128,20090119,W,60.71428571,140,85,38.57142857,54,14,Fernando Verdasco,L,4,,Andy Murray,R,2-6 6-1 1-6 6-3 6-4,5,189,10,6,135,100,69,12,21,8,13,7,3,140,85,54,30,20,12,17,15,2830,4,7190
Hard,128,20090119,W,64.54545455,110,71,40,44,14,Fernando Verdasco,L,5,,Jo-Wilfried Tsonga,R,7-6(2) 3-6 6-3 6-2,5,164,7,3,133,103,71,18,19,11,13,9,3,110,71,51,19,19,0,4,15,2830,7,3995
Hard,128,20090119,L,73.98843931,173,128,42.19653179,73,1,Rafael Nadal,L,14,,Fernando Verdasco,L,6-7(4) 6-4 7-6(2) 6-7(1) 6-4,5,310,12,3,173,128,92,28,28,2,4,21,4,212,148,104,35,28,16,20,1,13160,15,2830
